,precision,recall,f1-score,support
0,0.8316920322291853,0.8975845410628019,0.8633828996282529,1035.0
1,0.636986301369863,0.49732620320855614,0.5585585585585586,374.0
accuracy,0.7913413768630234,0.7913413768630234,0.7913413768630234,0.7913413768630234
macro avg,0.7343391667995242,0.6974553721356791,0.7109707290934058,1409.0
weighted avg,0.7800100284382793,0.7913413768630234,0.782471399585623,1409.0
